,Distance
"['32', '82', '92', '113', '119', '123', '168', '180', '227', '270']",2.964776376634824
"['73', '96', '138', '142', '153', '203', '239', '243', '249', '256']",2.7438048975770886
"['71', '135', '147', '177', '193', '241', '243', '248', '263', '267']",2.6425486760175376
"['5', '34', '47', '80', '83', '111', '118', '127', '257', '264']",2.8805674755565875
"['3', '4', '24', '89', '168', '182', '207', '214', '241', '296']",2.780707225091395
"['21', '38', '87', '122', '157', '167', '210', '218', '226', '277']",3.2282334213586825
"['18', '74', '107', '110', '132', '136', '187', '204', '258', '263']",2.847312030080492
"['51', '74', '90', '98', '119', '132', '182', '185', '261', '296']",2.7916835257109684
"['53', '87', '133', '145', '192', '206', '245', '263', '265', '289']",2.909403924949954
"['4', '33', '41', '74', '105', '115', '126', '161', '241', '275']",2.6249725857235187
"['24', '28', '46', '73', '76', '115', '162', '171', '215', '245']",3.3352156003731035
"['15', '68', '102', '123', '146', '152', '163', '214', '218', '224']",3.2835985269849286
"['22', '29', '38', '81', '100', '118', '137', '195', '215', '295']",2.740248390326869
"['59', '63', '86', '94', '103', '145', '160', '188', '196', '261']",2.9352276409787876
"['22', '38', '68', '93', '155', '177', '195', '219', '233', '259']",2.912003362450876
"['8', '28', '48', '49', '74', '111', '146', '192', '249', '261']",3.1904963635317243
"['62', '76', '77', '125', '150', '191', '195', '253', '257', '292']",3.0928238491583513
"['1', '33', '59', '85', '115', '128', '205', '230', '242', '248']",3.0069806071604774
"['0', '60', '65', '67', '100', '166', '193', '220', '289', '294']",2.6215023069887637
"['2', '69', '91', '103', '120', '179', '232', '243', '244', '288']",2.9202864770174206
"['55', '113', '136', '146', '155', '241', '266', '279', '282', '290']",2.9710882417500075
"['8', '32', '70', '154', '156', '185', '210', '226', '263', '273']",3.0660987530564023
