Class 1,Class 2,Sematic Cosine Similarity Without VGG Feat,Sematic Cosine Similarity Wit VGG Feat
apple,fish,0.24829375743865967,0.27723099333161283
apple,baby,0.17199209332466125,0.20736061656171667
apple,bear,0.18712499737739563,0.2233857266758994
apple,beaver,0.2203981578350067,0.2504775415952114
apple,bed,0.073935367166996,0.1191255931766394
apple,bee,0.39435431361198425,0.4184006846750067
apple,beetle,0.36779728531837463,0.3887464587255516
apple,bicycle,0.1494869440793991,0.18732679818085263
apple,bottle,0.24007557332515717,0.2724257486648345
apple,bowl,0.19686874747276306,0.22559340210742695
apple,boy,0.2065318375825882,0.2421653282664128
apple,bridge,0.025023240596055984,0.06844882678261088
apple,bus,0.12199293076992035,0.16088888961237302
apple,butterfly,0.23925325274467468,0.267177188507865
apple,camel,0.23262110352516174,0.2620381405162874
apple,can,0.08556529879570007,0.14277248390270558
apple,castle,0.16569390892982483,0.20099119866985204
apple,caterpillar,0.29757189750671387,0.32365298792886743
apple,cattle,0.2278599590063095,0.25718203901604586
apple,chair,0.0596194788813591,0.1020010704811295
apple,chimpanzee,0.0906270444393158,0.11851873049141037
apple,clock,0.1546737104654312,0.19008666242065986
apple,cloud,0.11834480613470078,0.15305664078330183
apple,cockroach,0.252104789018631,0.28379867039213524
apple,couch,0.06255511194467545,0.1025343910083365
apple,crab,0.29290077090263367,0.31871246233853767
apple,crocodile,0.1871926635503769,0.21368584277192926
apple,cup,0.16007453203201294,0.19485770186142914
apple,dinosaur,0.16929271817207336,0.2008127231648985
apple,dolphin,0.09998637437820435,0.1323871869969908
apple,elephant,0.2289539873600006,0.2582935404710778
apple,flatfish,0.20559564232826233,0.23349338059283975
apple,forest,0.22389259934425354,0.254463010226205
apple,fox,0.23464174568653107,0.2648999486812992
apple,girl,0.17700830101966858,0.21245615777072013
apple,hamster,0.2334083467721939,0.2628847745875955
apple,house,0.05334292724728584,0.10748951939783136
apple,kangaroo,0.2284935861825943,0.257147816755926
apple,keyboard,0.17873504757881165,0.209989449944324
apple,lamp,0.1662873476743698,0.19879016740841693
apple,mower,0.13628394901752472,0.166169648456573
apple,leopard,0.20946751534938812,0.2359235096435377
apple,lion,0.1309812366962433,0.16698555167828155
apple,lizard,0.22677814960479736,0.2578172954276665
apple,lobster,0.30459219217300415,0.32974065920071927
apple,man,0.11685415357351303,0.16341888645606817
apple,maple,0.45243120193481445,0.4726312712966442
apple,motorcycle,0.04419136047363281,0.08500161036283516
apple,mountain,0.08066432178020477,0.12223806844380014
apple,mouse,0.13744637370109558,0.17182219847517932
apple,mushroom,0.4374965727329254,0.46116032755109937
apple,oak,0.3399561643600464,0.3637884489210823
apple,orange,0.3920345902442932,0.4197980409763178
apple,orchid,0.4050019085407257,0.42470653461229113
apple,otter,0.21371665596961975,0.24289867911016938
apple,palm,0.2287662923336029,0.25899403764496065
apple,pear,0.6450695991516113,0.6597658058282778
apple,truck,0.1303829848766327,0.16944522465837786
apple,pine,0.36607682704925537,0.3935318075108427
apple,plain,0.18198718130588531,0.22656566131237743
apple,plate,0.09351340681314468,0.1314536488445196
apple,poppy,0.32475653290748596,0.3458810352501085
apple,porcupine,0.14933446049690247,0.17985101849177243
